title,price,year,brand,model,driveWheelConfiguration,vehicleTransmission,fuelType,mileageFromOdometer
"2006 Chrysler 300 automatique, 120000KM, $2900",2900.00,2006,Chrysler,300-Series,Roues motrices avant,Automatique,Essence,120 000
Acura csx,4800.00,2008,Acura,CSX,Autre,Automatique,Essence,168 000
2015 Nissan MICRA SR Berline,11500.00,2015,Nissan,MICRA,Autre,Autre,Essence,1 650
SL500 AMG 2006 14000KM,35600.00,2006,Mercedes-Benz,SLSAMG-Class,Autre,Automatique,Essence,13 661
Sprinter Mercedes-Benz 2013,24900.00,2013,Mercedes-Benz,Sprinter Van,Autre,Automatique,Diesel,147 237
Audi A3 2.0 Technik 2015 - lease transfer,640.00,2015,Audi,A3,4 roues motrices (4x4),Automatique,Essence,40 000
"2011 Mitsubishi Outlander XLS (fully loaded) S-AWC, 7 seats",9100.00,2011,Mitsubishi,Outlander,4 roues motrices (4x4),Automatique,Essence,189 000
2010 Ford Ranger sport Pickup Truck,5450.00,2010,Ford,Ranger,Roues motrices arrière,Manuelle,Essence,51 500
COROLLA 2009...(A/C).....,6300.00,2009,Toyota,Corolla,Roues motrices avant,Automatique,Essence,127 000
CHEVROLET CAMARO 2011 IMPÉCABLE,16000.00,2011,Chevrolet,Camaro,Roues motrices arrière,Manuelle,Essence,44 600
Honda Civic LX 2012 4P 1er propriétaire ***Jamais accidenté***,10900.00,2012,Honda,Civic,Roues motrices avant,Automatique,Essence,84 000
Honda Civic SI 2009 Manuelle,6000.00,2009,Honda,Civic,Roues motrices avant,Manuelle,Essence,171 000
"Mercedes ML-350 2009 Premium - 115,000km",11900.00,2009,Mercedes-Benz,M-Class,4 roues motrices (4x4),Automatique,Essence,115 000
Mazda3 Sport / Incitatif 1500$ / Transfert de location,261.84,2017,Mazda,Mazda3 Sport,Roues motrices avant,Automatique,Essence,19 000
2011 Jeep Grand Cherokee Full - 5.7 Hemi,18900.00,2011,Jeep,Grand Cherokee,4 x 4,Automatique,Essence,113 000
Prix révisé,7995.00,2011,Volkswagen,Tiguan,Autre,Automatique,Essence,179 500
I'm Selling My 2007 Nissan Sentra - Cheap Price!,1300.00,2007,Nissan,Sentra,Roues motrices avant,Automatique,Essence,155 130
BMW 325i 2006,5700.00,2006,BMW,3-Series,Roues motrices arrière,Automatique,Essence,179 000
Mini John Cooper Works,399.00,2016,MINI,Autre,Roues motrices avant,Manuelle,Essence,10 550
"Toyota Matrix XR 2005, manuelle",3495.00,2005,Toyota,Matrix,Roues motrices avant,Manuelle,Essence,180 000
Mustang 1999 3.8 tre propre automatique $1500 ferme,1500.00,1999,Ford,Mustang,Roues motrices arrière,Automatique,Essence,192
2003 Toyota Corolla Berline,3500.00,2003,Toyota,Corolla,Roues motrices avant,Automatique,Essence,270 000
Toyota scion 2016,13500.00,2016,Scion,tC,Roues motrices avant,Manuelle,Essence,49 500
Dodge ram 1500 2x4,18500.00,2013,Ram,1500,Roues motrices arrière,Automatique,Essence,90 550
911 Porsche Carrera S Modèle 997 2005,45888.00,2005,Porsche,911,Roues motrices arrière,Automatique,Essence,76 000
CHEVROLET CRUZE ECO 2011 / 6 Litres aux 100K,6900.00,2011,Chevrolet,Cruze,Autre,Autre,Essence,105 000
Hyundai Sonata edition limitée automatique full équipé,4299.00,2009,Hyundai,Sonata,Roues motrices avant,Automatique,Essence,100 000
"Ford Escape 2011  92,200km",5500.00,2011,Ford,Escape,Roues motrices avant,Automatique,Essence,92 200
"Jeep Compass 2014   - 80,000 km",10995.00,2014,Jeep,Compass,Roues motrices avant,Automatique,Essence,80 000
camion F-150  4X4,4500.00,2000,Ford,F-150,4 x 4,Automatique,Essence,78 046
2016 Chevrolet Cruze LT +2000$ LT TURBO Groupe sport RS,235.00,2016,Chevrolet,Cruze,Roues motrices avant,Manuelle,Essence,31 850
2015 volkswagen golf tsi  336.65$ monthly tax in,336.65,2015,Volkswagen,Golf,Roues motrices avant,Automatique,Essence,57 700
2012 Volkswagen Passat TDI. Dites bye-bye aux prix d'essence,11400.00,2012,Volkswagen,Passat,Roues motrices avant,Automatique,Diesel,140 000
Hyundai Accent 2002,1000.00,2002,Hyundai,Accent,Autre,Automatique,Essence,201 178
2008 Toyota Corolla CE manuelle,4500.00,2008,Toyota,Corolla,Roues motrices avant,Manuelle,Essence,135 000
2012 Mazda Mazda3 gx Berline manuelle 72000KM,5200.00,2012,Mazda,Mazda3,Roues motrices avant,Manuelle,Essence,72 000
Honda civic a vendre 2000 pour projet pas cher,500.00,2000,Honda,Civic,Roues motrices avant,Automatique,Essence,300 000
2016 Honda Civic EX-T CVT Turbo 1.5L 295/Month,295.00,2016,Honda,Civic,Roues motrices avant,Automatique,Essence,20 000
Mercedes C350 2013,21000.00,2013,Mercedes-Benz,C-Class,4 roues motrices (4x4),Automatique,Essence,39 000
Fusion 2007,2500.00,2007,Ford,Fusion,Roues motrices avant,Manuelle,Essence,205 000
Luxueuse BMW 328i 2009 automatique coupé 2 portes 118 000km,9395.00,2009,BMW,3-Series,Autre,Automatique,Essence,118 000
2009 BMW 3-Series M Sports Pack Coupe (2 portes),9499.99,2009,BMW,3-Series,Roues motrices arrière,Automatique,Essence,164 000
2012 Range Rover Supercharged Autobiography Sport For Sale,49900.00,2012,Land Rover,Range Rover,4 roues motrices (4x4),Automatique,Essence,68 752
2009 Chevrolet Malibu HYBRID...automatique-equippee,4900.00,2009,Chevrolet,Malibu,Roues motrices avant,Automatique,Véhicule hybride,214 000
"2006 Ford Escape XLT 4WD...automatic, equipped",2800.00,2006,Ford,Escape,4 roues motrices (4x4),Automatique,Essence,217 000
Ford  Mustang  GT  2005,12900.00,2005,Ford,Mustang,Autre,Automatique,Essence,48 419
Honda Odyssey 2009,6300.00,2009,Honda,Odyssey,Autre,Automatique,Essence,211 000
BMW X5 2008,11500.00,2008,BMW,X5,4 roues motrices (4x4),Automatique,Essence,171 000
Mustang GT 1999 Convertible Super Clean,12499.00,1999,Ford,Mustang,Roues motrices arrière,Manuelle,Essence,113 500
2017 BMW 340i 340i 340i X drive lease take over $621 + tax,621.00,2017,BMW,3-Series,4 roues motrices (4x4),Automatique,Essence,13 000
2010 Honda Accord Coupe EX incl. pneus d'été et d'hiver,8250.00,2010,Honda,Accord,Roues motrices avant,Automatique,Essence,125 433
Pontiac montana sv6 2006,2800.00,2006,Pontiac,Montana,Roues motrices avant,Automatique,Essence,167 000
mini cooper john cooper  2008,2000.00,2008,MINI,Autre,Autre,Autre,Essence,149 000
2007 Chevrolet Aveo 75600 Km,2300.00,2007,Chevrolet,Aveo,Roues motrices avant,Manuelle,Essence,75 600
2001 Audi TT TT Quattro Turbo 225hp Cabriolet,10500.00,2001,Audi,TT,4 x 4,Manuelle,Essence,180 500
2007  PONTIAC G5     COBALT   75000 KM   AUTOMATIQUE,3500.00,2007,Pontiac,G5,Roues motrices avant,Automatique,Essence,75 000
"Mazda 3 Sport GS 2017, 4 400 Km, un seul propriétaire",19900.00,2017,Mazda,Mazda3 Sport,Roues motrices avant,Manuelle,Essence,4 400
Toyota Corolla 2011,8300.00,2011,Toyota,Corolla,Roues motrices avant,Automatique,Essence,124 500
Volvo xc90,1900.00,2005,Volvo,XC90,4 roues motrices (4x4),Automatique,Essence,240 000
Mazda 6 GT-V6,1300.00,2006,Mazda,Mazda6,Roues motrices avant,Manuelle,Essence,260 000
À vendre ou à échanger  Santa fe 2001,3000.00,2001,Hyundai,Santa Fe,4 roues motrices (4x4),Automatique,Essence,173 000
Toyota FJ Cruiser 2008 4x4 Automatic,17500.00,2008,Toyota,FJ Cruiser,4 x 4,Automatique,Essence,180 125
Pick-up à vendre,800.00,2004,Ford,Ranger,Roues motrices arrière,Automatique,Essence,118 000
2010 Ford Fusion Berline Automatique 177000Km,3850.00,2010,Ford,Fusion,Roues motrices avant,Automatique,Essence,177 000
Honda accord 2003 v6 manuelle 300000km,1500.00,2003,Honda,Accord,Roues motrices avant,Manuelle,Essence,300 000
"2005 Infiniti G35X AWD automatique, 169000KM,",4350.00,2005,Infiniti,G35x,4 roues motrices (4x4),Automatique,Essence,169 000
Dodge ram 1500 2005,6000.00,2005,Dodge,Power Ram 1500,4 roues motrices (4x4),Automatique,Essence,156 000
"Mercedes 2015  CLA 250 , Price $25500.00",25500.00,2015,Mercedes-Benz,Autre,4 roues motrices (4x4),Automatique,Essence,44 000
Honda Fit 2013 - comme neuve,12000.00,2013,Honda,Fit,Roues motrices avant,Automatique,Essence,60 000
DODGE   RAM   1500    LARAMIE   2015   4 X 4    ECODIESEL,25000.00,2015,Dodge,Power Ram 1500,4 roues motrices (4x4),Automatique,Diesel,190 000
Hyundai Elantra 2014 (call: 514.951.40.65),7500.00,2014,Hyundai,Elantra,Roues motrices avant,Automatique,Essence,113 000
SATURN VUE 2006,2750.00,2006,Saturn,VUE,Autre,Manuelle,Essence,169 000
"2013 Ford Edge SUV, Crossover",17000.00,2013,Ford,Edge,4 roues motrices (4x4),Automatique,Essence,80 000
BMW 435I Xdrive COUPE - 6MT Manuelle - COMME NEUVE! Bas mileage!,39900.00,2014,BMW,4-Series,4 roues motrices (4x4),Manuelle,Essence,16 000
Rare - 2009 Mitsubishi Galant 3.8L V6 GT Sport Berline,4500.00,2009,Mitsubishi,Galant,Autre,Automatique,Essence,157 000
Pontiac G6 GT 2006,2600.00,2006,Pontiac,G6,Roues motrices avant,Automatique,Essence,157 000
Chevrolet Equinox  LT  2013 V6 AWD,15900.00,2013,Chevrolet,Equinox,Autre,Automatique,Essence,84 500
Dodge Grand Caravan 2007 Stow N Go,2700.00,2007,Dodge,Grand Caravan,Roues motrices avant,Automatique,Essence,123 540
Honda element 2003,2500.00,2003,Honda,Element,Roues motrices avant,Manuelle,Essence,325 000
2008 Mitsubishi Outlander XLS VUS,6995.00,2008,Mitsubishi,Outlander,Autre,Automatique,Essence,180 000
Ford Freestyle SEL,2800.00,2005,Ford,FreeStyle/Taurus X,Roues motrices avant,Automatique,Essence,239 000
Volvo XC70 AWD 2007,2750.00,2007,Volvo,XC70,4 roues motrices (4x4),Automatique,Essence,364 000
Mazda,16200.00,2010,Mazda,RX-8,Autre,Manuelle,Essence,22 000
2013 Malibu LTZ 2L Turbo,12500.00,2013,Chevrolet,Malibu,Roues motrices avant,Automatique,Essence,155 549
Ford Edge SEL 2014,14500.00,2014,Ford,Edge,Roues motrices avant,Automatique,Essence,135 000
Nissan Altima,800.00,1997,Nissan,Altima,Roues motrices avant,Automatique,Essence,151 000
F350 diesel,1.00,2007,Ford,F-350,Roues motrices arrière,Automatique,Diesel,230 000
2016 Chevrolet Cruze LT +2000$ LT TURBO Groupe sport RS,235.00,2016,Chevrolet,Cruze,Roues motrices avant,Manuelle,Essence,31 850
BMW M4 F82 2018 LEASE TRANSFER/TRANSFERT DE BAIL,975.00,2018,BMW,4-Series,Roues motrices arrière,Automatique,Essence,1 800
Honda Civic 2013,9000.00,2013,Honda,Civic,Roues motrices avant,Manuelle,Essence,84 000
**SATURN ASTRA XE 2008 HATCHBACK**AUTOMATIQUE**TOIT PANORAMIQUE*,3995.00,2008,Saturn,Astra,Roues motrices avant,Automatique,Essence,140 000
"2006 Pontiac Torrent Leather SUV, Crossover",1750.00,2006,Pontiac,Torrent,4 roues motrices (4x4),Automatique,Essence,167 000
MAZDA MX5 2008,15995.00,2008,Mazda,MX-5 Miata,Roues motrices arrière,Automatique,Essence,83 000
mercedes slk 230 a vendre,11500.00,1999,Mercedes-Benz,SLK-Class,Roues motrices arrière,Automatique,Essence,104 000
Volkswagen Jetta city 2008,1500.00,2008,Volkswagen,Jetta,Roues motrices avant,Manuelle,Essence,153 000
BMW 323i 2006,4200.00,2006,BMW,3-Series,Roues motrices arrière,Autre,Essence,235 000
2005 Pontiac Pursuit Berline,1100.00,2005,Pontiac,Pursuit,Autre,Autre,Essence,159 998
**HONDA CIVIC COUPÉ LX 2008*AC*CRUISE*GR.ÉLEC*MÉCANIQUE A1**4795,4795.00,2008,Honda,Civic,Roues motrices avant,Automatique,Essence,195 000
Ram 1500 2014,28000.00,2014,Ram,1500,4 x 4,Automatique,Diesel,115 000
Van chevy express,3200.00,2006,Chevrolet,Express,Roues motrices arrière,Automatique,Essence,246 000
"2008 Mercedes-Benz R-Class 3.0L CDI SUV, Crossover",13500.00,2008,Mercedes-Benz,R-Class,4 roues motrices (4x4),Automatique,Diesel,110 542
I'm Selling My 2007 Nissan Sentra - Cheap Price!,1300.00,2007,Nissan,Sentra,Roues motrices avant,Automatique,Essence,155 130
Toyota Sienna LE 2015,16900.00,2015,Toyota,Sienna,Roues motrices avant,Automatique,Essence,68 000
2014 Toyota Rav4 with super low mileage excellente condition,20000.00,2014,Toyota,RAV4,4 roues motrices (4x4),Automatique,Essence,17 000
dodge ram,3500.00,2002,Dodge,Power Ram 1500,4 x 4,Automatique,Essence,160 000
Pontiac G6 2007,1900.00,2007,Pontiac,G6,Roues motrices avant,Automatique,Essence,153 000
Honda accord,2500.00,2004,Honda,Accord,Autre,Automatique,Essence,217 000
Je vends ma Nissan versa  2007 au prix de  $3300.00.,3300.00,2007,Nissan,Versa,Autre,Automatique,Essence,198 000
Honda civic 2006,2500.00,2006,Honda,Civic,Roues motrices avant,Manuelle,Essence,310 000
"Mazda 5, private sale",4200.00,2009,Mazda,Mazda5,Roues motrices avant,Automatique,Essence,145 000
Nissan Versa 2009,3000.00,2009,Nissan,Versa,Roues motrices avant,Automatique,Essence,170 000
HONDA ACCORD EX L V6 138500 km 2009 8699$ perfect condition,8699.00,2009,Honda,Accord,Roues motrices avant,Automatique,Essence,138 500
Saturn Sky Red Line 2 litres Turbo 2007,17850.00,2007,Saturn,Sky,Roues motrices arrière,Manuelle,Essence,52 548
"*DODGE JOURNEY SE 2010 2,4L*AUTOMATIQUE*100KM*AC*P.D'HIVER*5995$",5995.00,2010,Dodge,Journey,Roues motrices avant,Automatique,Essence,100 000
Luxueuse BMW 328i 2009 automatique coupé 2 portes 118 000km,9395.00,2009,BMW,3-Series,Autre,Automatique,Essence,118 000
Toyota yaris 2013,9000.00,2013,Toyota,Yaris,Roues motrices avant,Automatique,Essence,104 000
EDGE TITANIUM 2017,306.31,2017,Ford,Edge,Autre,Automatique,Essence,10 500
**DODGE JOURNEY SE 2010**7PASSAGERS**AUTO**A.C**P.D'HIVER**6995$,6995.00,2010,Dodge,Journey,Roues motrices avant,Automatique,Essence,136 000
Nissan 350Z 2007 Grand Touring,19500.00,2007,Nissan,350Z,Roues motrices arrière,Manuelle,Essence,63 500
Vente de voiture,1600.00,1996,Mercedes-Benz,Autre,Roues motrices avant,Automatique,Essence,140 000
alfa romeo spider veloce,6500.00,1987,Alfa Romeo,Spider,Roues motrices arrière,Manuelle,Essence,100 000
Beau camion bleu!,17000.00,2010,Ford,F-150,4 roues motrices (4x4),Automatique,Essence,70 000
toyota Corolla LE 1990,2500.00,1990,Toyota,Corolla,Autre,Automatique,Essence,124 772
Honda civic 2001,800.00,2001,Honda,Civic,Autre,Automatique,Essence,261 727
Toyota Corolla CE - 2009 - Base,3900.00,2009,Toyota,Corolla,Roues motrices avant,Manuelle,Essence,160 490
Dodge Caravan 2012,10750.00,2012,Dodge,Caravan,Roues motrices avant,Automatique,Essence,105 000
2012 Kia Forte Koup Coupé (2 portes) 140 000km,6200.00,2012,Kia,Forte,Roues motrices avant,Manuelle,Essence,140 000
Ford fusion SE 2010. Excellent état,4995.00,2010,Ford,Fusion,Roues motrices avant,Autre,Essence,152 000
2008 Chrysler Sebring Limitée Conv 131000 KM!,6600.00,2008,Chrysler,Sebring,Autre,Automatique,Essence,131 000
"Nissan Altima SL 2,5 à vendre très propre",4750.00,2007,Nissan,Altima,Roues motrices avant,Automatique,Essence,139 500
Ford Fusion SE. Excellent condition,4995.00,2010,Ford,Fusion,Roues motrices avant,Automatique,Essence,152 000
pontiac g5 poursuit 2006,1350.00,2006,Pontiac,Pursuit,Roues motrices avant,Automatique,Essence,213 000
Nissan 370Z Nismo 2010,23000.00,2010,Nissan,370Z,Roues motrices arrière,Manuelle,Essence,45 000
BMW 325i 2006,6000.00,2006,BMW,3-Series,Roues motrices arrière,Automatique,Essence,258 000
MAZDA TRIBUTE TOIT OUVRANT 2008,3750.00,2008,Mazda,Tribute,Roues motrices avant,Automatique,Essence,188 000
Honda civic 2004,1500.00,2004,Honda,Civic,Roues motrices avant,Manuelle,Essence,231 000
Honda Civic coupé SI 2012,13500.00,2012,Honda,Civic,Autre,Manuelle,Essence,72 000
2003 Hyundai Accent Sedan,1100.00,2003,Hyundai,Accent,Roues motrices avant,Automatique,Essence,9 200
*NISSAN ALTIMA 2.5 SL 2005**FULL*TOIT*CUIR*AC*CRUISE**125.000KM*,4775.00,2005,Nissan,Altima,Roues motrices avant,Automatique,Essence,125 000
Corolla CE 2008 104000km,4300.00,2008,Toyota,Corolla,Roues motrices avant,Manuelle,Essence,104 000
camion F-150  4X4,4500.00,2000,Ford,F-150,4 x 4,Automatique,Essence,78 046
2002 Acura EL Touring Berline Sedan,1380.00,2002,Acura,EL,Roues motrices avant,Automatique,Essence,225 000
Audi A3 2.0 Technik 2015 - lease transfer,640.00,2015,Audi,A3,4 roues motrices (4x4),Automatique,Essence,40 000
Nissan xterra sauter,750.00,2003,Nissan,Xterra,4 x 4,Automatique,Essence,288 000
2010 Toyota Matrix XR automatique 100000km TRES PROPRE,9000.00,2010,Toyota,Matrix,Roues motrices avant,Automatique,Essence,100 000
Auto à vendre,4500.00,2004,Jeep,Cherokee,Autre,Automatique,Essence,129 000
Honda Civic 2003 MANUELLE,2500.00,2003,Honda,Civic,Roues motrices avant,Manuelle,Essence,228 000
2013 Volkswagen Jetta Comfortline manuel+toit+bluetooth,7995.00,2013,Volkswagen,Jetta,Roues motrices avant,Manuelle,Essence,132 000
1999 Mercedes-Benz E-Class 4-Matic Sedan,2650.00,1999,Mercedes-Benz,E-Class,4 roues motrices (4x4),Automatique,Essence,211 000
SUBARU IMPREZA HATCHBACK 2005 AWD,2000.00,2004,Subaru,Impreza,4 roues motrices (4x4),Automatique,Essence,239 000
*HONDA CIVIC COUPÉ LX 2008**CLIM*CRUISE*GR.ÉLECTRIQUE*MÉCANIQUE,4795.00,2010,Honda,Civic,Roues motrices avant,Automatique,Essence,195 000
Véhicule adapté,5000.00,2004,Dodge,Caravan,Roues motrices avant,Automatique,Essence,56 400
Mazda miata gs 2006 mec a1 6vitesses,10000.00,2006,Mazda,MX-5 Miata,Roues motrices arrière,Manuelle,Essence,164 000
Jeep wrangler Sahara unlimited,19000.00,2010,Jeep,Wrangler,4 x 4,Manuelle,Essence,108 900
"2009 Volvo XC70 3,0 l Familiale",8000.00,2009,Volvo,XC70,Autre,Automatique,Essence,210 000
2014 BMW X5 / Low Mileage / Fully Loaded / BEST DEAL in Canada!,41900.00,2014,BMW,X5,4 roues motrices (4x4),Automatique,Essence,39 800
"2007 NISSAN ALTIMA 3.5SE, 6 VIT, *124,000 KM*, V6, 270hp",5900.00,2007,Nissan,Altima,Roues motrices avant,Manuelle,Essence,124 000
Honda Accord 2008 v6 EX 3.5L,6400.00,2008,Honda,Autre,Autre,Automatique,Essence,235 000
"Hyundai Elantra GL, 2011",8500.00,2011,Hyundai,Elantra,Roues motrices avant,Automatique,Essence,34 137
Saab 9-3 2007 2500$ nego!!,2500.00,2007,Saab,9-3,Roues motrices avant,Manuelle,Essence,207 000
F250 2008,6000.00,2008,Ford,Autre,4 x 4,Automatique,Essence,255 000
Chevrolet blazer 2001 4x4,1995.00,2001,Chevrolet,Blazer,4 roues motrices (4x4),Automatique,Essence,183 000
2009 Toyota RAV4,9800.00,2009,Toyota,RAV4,4 roues motrices (4x4),Automatique,Essence,151 000
Volvo s70,800.00,2000,Volvo,S70,Autre,Autre,Essence,180 000
DODGE GRAND CARAVAN 2009  STOW N GO,5490.00,2009,Dodge,Grand Caravan,Roues motrices avant,Automatique,Essence,193 100
Dodge. Grand. Caravane,3500.00,2007,Dodge,Grand Caravan,Autre,Automatique,Essence,285 000
"Volkswagen jetta Trendline +2016 automatique,mags, pas de taxe.",15190.00,2016,Volkswagen,Autre,Autre,Automatique,Essence,46 000
"2007 NISSAN ALTIMA 3.5SE, 6 VIT, *124,000 KM*, V6, 270hp",5900.00,2007,Nissan,Altima,Roues motrices avant,Manuelle,Essence,124 000
Nissan altima SL 2005,1500.00,2005,Nissan,Altima,Roues motrices avant,Automatique,Essence,244 000
Toyota Camry SE 2007,3800.00,2007,Toyota,Camry,Roues motrices avant,Manuelle,Essence,213 800
2007 Volkswagen Jetta 2.0 Litres Turbo,3500.00,2007,Volkswagen,Jetta,Roues motrices avant,Manuelle,Essence,232 945
CHEVROLET COLORADO LT 2009,6000.00,2009,Chevrolet,Colorado,4 x 4,Automatique,Essence,130 000
Nissan 180sx/sil80,13500.00,1992,Nissan,240SX,Roues motrices arrière,Manuelle,Essence,5 000
Honda Civic 2003 Coupe,1500.00,2003,Honda,Autre,Roues motrices avant,Automatique,Essence,210 000
Honda Civic 2006 Automatique,2650.00,2006,Honda,Civic,Roues motrices avant,Automatique,Essence,270 000
Dodge Grand Caravan Crew . 7 places 91000 KM Dem à distance,12999.00,2011,Dodge,Grand Caravan,Roues motrices avant,Automatique,Essence,91 000
Hyundai elentra 2008,1800.00,2008,Hyundai,Elantra,Roues motrices avant,Automatique,Essence,164 795
CAMION CRV A VENDRE !!!!,2000.00,1999,Honda,CR-V,4 x 4,Automatique,Essence,205 000
Chevrelet optra 5 2005,1000.00,2005,Chevrolet,Optra,Roues motrices avant,Automatique,Essence,163 000
2009 Audi A6 Premium Berline/  REVISED PRICE,10000.00,2009,Audi,A6,Autre,Automatique,Essence,206 000
BMW 128 i 2011 Noir Cabriolet,24800.00,2011,BMW,M Roadster & Coupe,Roues motrices avant,Manuelle,Essence,98 000
Subaru Outback 2013 2.5i Co avec garantie prolongée (07-2020),15500.00,2013,Subaru,Outback,4 roues motrices (4x4),Automatique,Essence,113 000
2012 Toyota RAV4 Garantie prolongée transférable VUS,14500.00,2012,Toyota,RAV4,4 roues motrices (4x4),Automatique,Essence,116 000
NISSAN ALTIMA 2.5s full équipe,7995.00,2009,Nissan,Altima,Roues motrices avant,Automatique,Essence,92 000
HYUNDAI SANTA FE 2010 BLANC AWD,9390.00,2010,Hyundai,Santa Fe,4 roues motrices (4x4),Automatique,Essence,149 533
2013 Volkswagen Golf GTI 5 portes,18300.00,2013,Volkswagen,GTI,Roues motrices avant,Manuelle,Essence,78 000
Volvo s80 2004 biturbo,1200.00,2004,Volvo,S80,Roues motrices avant,Automatique,Essence,205 000
2006 Toyota Camry Le cleAn Beau propre Sedan,4250.00,2006,Toyota,Camry,Roues motrices avant,Automatique,Essence,194 000
Toyota Echo 2003 ***manuelle***,999.00,2003,Toyota,Echo,Roues motrices avant,Manuelle,Essence,204 000
Jetta 2.5 2007 bas kilo,3000.00,2007,Volkswagen,Jetta,Roues motrices avant,Manuelle,Essence,135 000
Nissan Sentra ser/spec v 2007,7300.00,2007,Nissan,Sentra,Autre,Manuelle,Essence,68 000
HONDA 2002 4WD CR-V $2000 with new winter tires incl. MUST SELL,2000.00,2002,Honda,CR-V,4 x 4,Manuelle,Essence,258 000
BMW M3 V8 - 4 portes - Bas KM - 420 HP !,25495.00,2008,BMW,Autre,Autre,Autre,Essence,99 999
Dodge Caravan  2001,750.00,2001,Dodge,Caravan,Roues motrices avant,Automatique,Essence,249 000
2008 VW Jetta,3900.00,2008,Volkswagen,Jetta,Roues motrices avant,Manuelle,Essence,196 000
BMW 128 i 2011 Noir Cabriolet,24800.00,2011,BMW,M Roadster & Coupe,Roues motrices avant,Manuelle,Essence,98 000
2007 Volkswagen Jetta 2.0 Litres Turbo,3500.00,2007,Volkswagen,Jetta,Roues motrices avant,Manuelle,Essence,232 945
Subaru Forester Touring - Moteur BOXER Engine,8900.00,2010,Subaru,Forester,4 roues motrices (4x4),Manuelle,Essence,132 000
"2012 Subaru Impreza 2,0i  limited Berline - dernière chance",10900.00,2012,Subaru,Impreza,Autre,Manuelle,Essence,107 800
2012 Mitsubishi Lancer,9250.00,2012,Mitsubishi,Lancer,Roues motrices avant,Automatique,Essence,88 290
Nego 650$  Civic 97 240000kilo   650$ négo,650.00,1997,Honda,Civic,Roues motrices avant,Automatique,Essence,240 000
Mini Cooper 2007,2500.00,2007,MINI,Mini Cooper,Roues motrices avant,Manuelle,Essence,168 000
vente auto,1200.00,1998,Honda,Civic,Roues motrices avant,Manuelle,Essence,110
Hyundai Tucson 2005,3100.00,2005,Hyundai,Tucson,Roues motrices avant,Manuelle,Essence,129 000
2009  Mazda5  VUS en très bon état,6000.00,2009,Mazda,Mazda5,Roues motrices avant,Automatique,Essence,134 000
Audi Q7 Tecnik 2017,62500.00,2017,Audi,Q7,4 roues motrices (4x4),Automatique,Essence,61 500
Honda CR-V LX 2013 4WD - Bas kilométrage - Parfaite condition,18900.00,2013,Honda,CR-V,Autre,Automatique,Essence,53 500
"Mercedes-Benz c-240, toit ouvrant ,tres bon etat, année 2003",2600.00,2003,Mercedes-Benz,C-Class,4 roues motrices (4x4),Automatique,Essence,317 000
Jetta tdi 2014,13400.00,2014,Volkswagen,Jetta,Roues motrices avant,Automatique,Diesel,180 000
Audi Q7 2017,1191.00,2017,Audi,Q7,4 roues motrices (4x4),Automatique,Essence,61 500
Toyota Corolla 2001 en bonne condition,1300.00,2001,Toyota,Corolla,Roues motrices avant,Automatique,Essence,197 000
Chrysler Town & Country Touring,12800.00,2013,Chrysler,Town & Country,Roues motrices avant,Automatique,Essence,132 568
vehcules,1500.00,2003,Toyota,Echo,Roues motrices avant,Manuelle,Essence,197 849
BMW 530xi  only 137k,8650.00,2007,BMW,5-Series,4 x 4,Automatique,Essence,137 000
BMW Z3 1996,7600.00,1996,BMW,Z3,Roues motrices arrière,Manuelle,Essence,176 000
Honda Civic 2010 Auto,4990.00,2010,Honda,Civic,Roues motrices avant,Automatique,Essence,150 000
Lexus is250  143000km push to start leather sunroof and much mor,9200.00,2008,Lexus,IS,Roues motrices arrière,Automatique,Essence,143 000
Grand cherokee limited full load **GARANTIE UN AN**,5777.77,2005,Jeep,Grand Cherokee,4 roues motrices (4x4),Automatique,Essence,183 000
2004 Ferrari 360 Modena Spider F1,115000.00,2004,Ferrari,360,Roues motrices arrière,Autre,Essence,20 000
BMW M3 2002 (E46) - négo respectueusement,13000.00,2002,BMW,M3,Roues motrices arrière,Autre,Essence,279 000
2012 Audi S5 4.2 FSI Quattro,21500.00,2012,Audi,S5,Autre,Manuelle,Essence,157 000
Dodge Ram 1500 2005 5.7hemi,7500.00,2005,Dodge,Autre,Autre,Autre,Essence,167 000
Ford F-150 4X4,5900.00,2005,Ford,F-150,4 x 4,Automatique,Essence,162 000
Dodge Ram 2500 Diesel,5500.00,1997,Dodge,Power Ram 2500,4 roues motrices (4x4),Automatique,Diesel,180 000
KIA SOUL 2011,4999.00,2011,Kia,Soul,Roues motrices avant,Manuelle,Essence,152 278
BMW 2001 série 3,14500.00,2001,BMW,3-Series,Roues motrices arrière,Automatique,Essence,197 021
SMART Fortwo Cabriolet 2013 ... Édition Passion,14000.00,2013,Smart,Fortwo,Roues motrices arrière,Automatique,Essence,34 782
Mitsubishi Lancer 2014 Edition limitited,7800.00,2014,Mitsubishi,Lancer,Roues motrices avant,Automatique,Essence,49 780
FORD MUSTANG GT 1994 5.0 litres !!!,6800.00,1994,Ford,Mustang,Roues motrices arrière,Manuelle,Essence,150 000
2011 Ford F-150 XLT XTR,8500.00,2011,Ford,F-150,4 x 4,Automatique,Autre,315 000
"MATRIX 2013 - 28,000 KM",15500.00,2013,Toyota,Matrix,Roues motrices avant,Manuelle,Essence,28 000
